Level,Nav,Category,Type,ModuleID,Jira,Title,UserStory,VerifiedInVersion,QuickstartID,Comments
1,Metrics,.,assembly,mobile-metrics,,"Using the Mobile Metrics Service",,,,
,,.,assembly,,,"Setting Up the {metrics-service} Service",,,,
,,.,procedure,provisioning-the-metrics.adoc,,,,,,
,,.,procedure,binding-an-app-to-a-service.adoc,,,,,,
,,.,assembly,,,"Configuring your development environment for the {metrics-service} Service",,,,
,,.,procedure,downloading-configuration-file,,,,,,
,,.,procedure,setting-up-sdk,,,,,,
,,.,procedure,analysing-app-usage,,,,,,
,,.,procedure,monitoring-keycloak,,,,,,
,,.,procedure,monitoring-sync,,,,,,
,,.,procedure,viewing-keycloak-dashboards,,,,,,
